Rui,Mário,Napoli
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.05,67
TOTAL_SHOTS,1.09,88
ASSISTS,0.12,70
XA,0.11,76
NON_PEN_XG+XA,0.17,73
SHOT_CREATIONS,2.98,94
PASSES_ATTEMPTED,75.17,95
PASS_COMPLETION_PERCENTAGE,84.6,88
PROGRESSIVE_PASSES,4.97,85
PROGRESSIVE CARRIES,5.46,70
DRIBBLES_COMPLETED,0.63,39
TOUCHES_IN_AREA,1.48,58
PROGRESSIVE_PASSES_RECIEVED,2.20,56
PRESSURES,9.62,13
TACKLES,1.87,41
INTERCEPTIONS,1.42,35
BLOCKS,1.48,18
CLEARANCES,1.63,18
AERIAL_DUELS_WON,0.66,17
