Meret,Alex,Napoli
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.27,7
GOALS_CONCEDED,1.38,48
SAVE_PERCENTAGE,62.9,16
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.29,39
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,23.1,45
TOUCHES,27.81,4
LAUNCH_PERCENTAGE,19.7,1
GOAL_KICKS,5.04,5
AVG_GOAL_KICK_DISTANCE,28.5,5
CROSSES_STOPPED_PERCENTAGE,8.0,66
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.35,9
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,14.3,44
