Ounas,Adam,Napoli
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.35,48
NON_PEN_XG,0.19,7
TOTAL_SHOTS,2.42,53
ASSISTS,0.24,83
XA,0.29,97
NON_PEN_XG+XA,0.48,51
SHOT_CREATIONS,4.25,96
PASSES_ATTEMPTED,40.54,95
PASS_COMPLETION_PERCENTAGE,79.2,87
PROGRESSIVE_PASSES,4.78,99
PROGRESSIVE CARRIES,6.96,96
DRIBBLES_COMPLETED,3.60,99
TOUCHES_IN_AREA,4.25,19
PROGRESSIVE_PASSES_RECIEVED,6.14,21
PRESSURES,12.33,30
TACKLES,0.71,50
INTERCEPTIONS,0.71,87
BLOCKS,0.94,73
CLEARANCES,0.24,13
AERIAL_DUELS_WON,0.65,13
