Politano,Matteo,Napoli
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.28,62
NON_PEN_XG,0.20,51
TOTAL_SHOTS,2.80,85
ASSISTS,0.18,46
XA,0.20,64
NON_PEN_XG+XA,0.40,56
SHOT_CREATIONS,4.45,85
PASSES_ATTEMPTED,40.69,59
PASS_COMPLETION_PERCENTAGE,74.4,40
PROGRESSIVE_PASSES,3.12,42
PROGRESSIVE CARRIES,8.97,91
DRIBBLES_COMPLETED,1.37,35
TOUCHES_IN_AREA,4.55,65
PROGRESSIVE_PASSES_RECIEVED,5.64,36
PRESSURES,13.87,30
TACKLES,1.19,36
INTERCEPTIONS,1.05,65
BLOCKS,0.91,21
CLEARANCES,0.67,67
AERIAL_DUELS_WON,0.28,16
