Manolas,Kostas,Napoli
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.05,57
TOTAL_SHOTS,0.29,18
ASSISTS,0.00,28
XA,0.00,19
NON_PEN_XG+XA,0.05,33
SHOT_CREATIONS,0.54,50
PASSES_ATTEMPTED,58.01,64
PASS_COMPLETION_PERCENTAGE,93.7,97
PROGRESSIVE_PASSES,1.86,18
PROGRESSIVE CARRIES,1.91,33
DRIBBLES_COMPLETED,0.00,1
TOUCHES_IN_AREA,0.29,6
PROGRESSIVE_PASSES_RECIEVED,0.05,13
PRESSURES,6.55,16
TACKLES,1.27,32
INTERCEPTIONS,1.42,26
BLOCKS,1.08,4
CLEARANCES,3.96,20
AERIAL_DUELS_WON,2.05,26
