"b'Gundogan, Ilkay'",Manchester City
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.39,99
NON_PEN_XG,0.34,99
TOTAL_SHOTS,2.20,97
ASSISTS,0.21,92
XA,0.22,97
NON_PEN_XG+XA,0.55,99
SHOT_CREATIONS,3.36,94
PASSES_ATTEMPTED,68.33,88
PASS_COMPLETION_PERCENTAGE,89.8,92
PROGRESSIVE_PASSES,4.33,60
PROGRESSIVE CARRIES,6.93,91
DRIBBLES_COMPLETED,1.31,85
TOUCHES_IN_AREA,4.28,99
PROGRESSIVE_PASSES_RECIEVED,5.69,98
PRESSURES,9.65,1
TACKLES,1.05,4
INTERCEPTIONS,0.94,11
BLOCKS,0.58,1
CLEARANCES,0.47,4
AERIAL_DUELS_WON,0.66,21
