Rodri,,Manchester City
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,61
NON_PEN_XG,0.05,42
TOTAL_SHOTS,0.84,42
ASSISTS,0.07,54
XA,0.06,44
NON_PEN_XG+XA,0.11,38
SHOT_CREATIONS,2.48,77
PASSES_ATTEMPTED,88.39,98
PASS_COMPLETION_PERCENTAGE,92.5,98
PROGRESSIVE_PASSES,5.24,79
PROGRESSIVE CARRIES,5.59,84
DRIBBLES_COMPLETED,0.63,37
TOUCHES_IN_AREA,1.64,75
PROGRESSIVE_PASSES_RECIEVED,1.78,54
PRESSURES,16.19,30
TACKLES,2.62,73
INTERCEPTIONS,1.45,37
BLOCKS,1.26,23
CLEARANCES,1.94,77
AERIAL_DUELS_WON,2.60,92
