Jesus,Gabriel,Manchester City
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.43,69
NON_PEN_XG,0.43,73
TOTAL_SHOTS,2.69,66
ASSISTS,0.33,95
XA,0.16,68
NON_PEN_XG+XA,0.59,74
SHOT_CREATIONS,2.95,77
PASSES_ATTEMPTED,37.33,91
PASS_COMPLETION_PERCENTAGE,85.4,99
PROGRESSIVE_PASSES,2.25,77
PROGRESSIVE CARRIES,6.96,95
DRIBBLES_COMPLETED,1.96,93
TOUCHES_IN_AREA,7.52,94
PROGRESSIVE_PASSES_RECIEVED,9.58,89
PRESSURES,15.38,57
TACKLES,1.03,74
INTERCEPTIONS,0.73,90
BLOCKS,1.16,86
CLEARANCES,0.17,8
AERIAL_DUELS_WON,0.60,11
