Dias,Rúben,Manchester City
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,50
NON_PEN_XG,0.05,55
TOTAL_SHOTS,0.36,27
ASSISTS,0.02,56
XA,0.03,75
NON_PEN_XG+XA,0.07,65
SHOT_CREATIONS,0.76,77
PASSES_ATTEMPTED,81.42,99
PASS_COMPLETION_PERCENTAGE,93.8,97
PROGRESSIVE_PASSES,4.12,88
PROGRESSIVE CARRIES,7.95,99
DRIBBLES_COMPLETED,0.11,19
TOUCHES_IN_AREA,0.82,52
PROGRESSIVE_PASSES_RECIEVED,0.27,76
PRESSURES,6.31,13
TACKLES,1.37,42
INTERCEPTIONS,1.26,14
BLOCKS,1.47,30
CLEARANCES,3.22,6
AERIAL_DUELS_WON,1.79,14
