Stones,John,Manchester City
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.16,99
NON_PEN_XG,0.10,97
TOTAL_SHOTS,0.65,76
ASSISTS,0.00,28
XA,0.00,4
NON_PEN_XG+XA,0.11,91
SHOT_CREATIONS,0.65,64
PASSES_ATTEMPTED,73.75,95
PASS_COMPLETION_PERCENTAGE,94.7,99
PROGRESSIVE_PASSES,3.28,72
PROGRESSIVE CARRIES,8.66,99
DRIBBLES_COMPLETED,0.26,63
TOUCHES_IN_AREA,0.91,63
PROGRESSIVE_PASSES_RECIEVED,0.32,82
PRESSURES,5.71,7
TACKLES,0.78,4
INTERCEPTIONS,0.78,1
BLOCKS,1.23,9
CLEARANCES,3.76,13
AERIAL_DUELS_WON,2.43,45
