Sterling,Raheem,Manchester City
FW,AM,WM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.37,85
NON_PEN_XG,0.47,96
TOTAL_SHOTS,2.63,78
ASSISTS,0.22,62
XA,0.21,68
NON_PEN_XG+XA,0.67,94
SHOT_CREATIONS,3.52,65
PASSES_ATTEMPTED,39.49,54
PASS_COMPLETION_PERCENTAGE,84.9,97
PROGRESSIVE_PASSES,2.81,33
PROGRESSIVE CARRIES,8.47,86
DRIBBLES_COMPLETED,2.32,80
TOUCHES_IN_AREA,9.18,99
PROGRESSIVE_PASSES_RECIEVED,9.82,95
PRESSURES,11.59,12
TACKLES,0.83,13
INTERCEPTIONS,0.53,14
BLOCKS,0.59,7
CLEARANCES,0.09,2
AERIAL_DUELS_WON,0.22,9
