Torres,Ferrán,Manchester City
RW,AM,RM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.57,97
NON_PEN_XG,0.44,94
TOTAL_SHOTS,2.77,84
ASSISTS,0.14,33
XA,0.13,31
NON_PEN_XG+XA,0.58,88
SHOT_CREATIONS,2.84,32
PASSES_ATTEMPTED,27.82,9
PASS_COMPLETION_PERCENTAGE,80.4,79
PROGRESSIVE_PASSES,1.70,5
PROGRESSIVE CARRIES,3.34,5
DRIBBLES_COMPLETED,1.35,34
TOUCHES_IN_AREA,5.68,82
PROGRESSIVE_PASSES_RECIEVED,6.81,60
PRESSURES,15.69,49
TACKLES,1.06,28
INTERCEPTIONS,0.57,17
BLOCKS,1.56,80
CLEARANCES,0.43,36
AERIAL_DUELS_WON,0.50,33
