Walker,Kyle,Manchester City
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,43
NON_PEN_XG,0.01,10
TOTAL_SHOTS,0.29,19
ASSISTS,0.03,18
XA,0.04,14
NON_PEN_XG+XA,0.05,7
SHOT_CREATIONS,1.35,31
PASSES_ATTEMPTED,84.75,98
PASS_COMPLETION_PERCENTAGE,89.0,98
PROGRESSIVE_PASSES,4.70,81
PROGRESSIVE CARRIES,5.73,74
DRIBBLES_COMPLETED,0.83,54
TOUCHES_IN_AREA,1.06,36
PROGRESSIVE_PASSES_RECIEVED,1.38,25
PRESSURES,9.86,14
TACKLES,1.63,24
INTERCEPTIONS,1.12,13
BLOCKS,1.40,14
CLEARANCES,1.49,14
AERIAL_DUELS_WON,1.00,38
