De Bruyne,Kevin,Manchester City
AM,CM,WM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.40,99
NON_PEN_XG,0.31,99
TOTAL_SHOTS,3.44,99
ASSISTS,0.25,97
XA,0.38,99
NON_PEN_XG+XA,0.69,99
SHOT_CREATIONS,5.69,99
PASSES_ATTEMPTED,63.54,81
PASS_COMPLETION_PERCENTAGE,77.0,13
PROGRESSIVE_PASSES,6.96,96
PROGRESSIVE CARRIES,8.77,98
DRIBBLES_COMPLETED,1.59,93
TOUCHES_IN_AREA,4.64,99
PROGRESSIVE_PASSES_RECIEVED,7.50,99
PRESSURES,20.08,69
TACKLES,1.27,6
INTERCEPTIONS,0.80,5
BLOCKS,1.23,21
CLEARANCES,0.40,2
AERIAL_DUELS_WON,0.33,4
