Silva,Bernardo,Manchester City
FW,AM,CM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.23,95
NON_PEN_XG,0.18,95
TOTAL_SHOTS,1.25,76
ASSISTS,0.23,94
XA,0.17,93
NON_PEN_XG+XA,0.36,97
SHOT_CREATIONS,3.42,95
PASSES_ATTEMPTED,58.64,72
PASS_COMPLETION_PERCENTAGE,89.1,89
PROGRESSIVE_PASSES,3.19,33
PROGRESSIVE CARRIES,10.13,99
DRIBBLES_COMPLETED,1.67,94
TOUCHES_IN_AREA,5.20,99
PROGRESSIVE_PASSES_RECIEVED,5.82,98
PRESSURES,19.25,60
TACKLES,1.46,11
INTERCEPTIONS,1.00,15
BLOCKS,1.21,19
CLEARANCES,0.50,5
AERIAL_DUELS_WON,0.39,6
