Mendy,Benjamin,Manchester City
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.17,97
NON_PEN_XG,0.05,67
TOTAL_SHOTS,0.51,41
ASSISTS,0.17,85
XA,0.10,70
NON_PEN_XG+XA,0.17,76
SHOT_CREATIONS,2.73,90
PASSES_ATTEMPTED,60.97,80
PASS_COMPLETION_PERCENTAGE,82.6,81
PROGRESSIVE_PASSES,5.29,91
PROGRESSIVE CARRIES,3.76,30
DRIBBLES_COMPLETED,1.20,77
TOUCHES_IN_AREA,2.05,77
PROGRESSIVE_PASSES_RECIEVED,2.73,72
PRESSURES,14.86,76
TACKLES,1.71,30
INTERCEPTIONS,0.68,1
BLOCKS,2.39,86
CLEARANCES,1.02,3
AERIAL_DUELS_WON,0.85,30
