Fernandinho,,Manchester City
AM,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,55
NON_PEN_XG,0.07,53
TOTAL_SHOTS,0.90,47
ASSISTS,0.18,89
XA,0.13,88
NON_PEN_XG+XA,0.20,80
SHOT_CREATIONS,2.88,87
PASSES_ATTEMPTED,68.41,89
PASS_COMPLETION_PERCENTAGE,87.0,75
PROGRESSIVE_PASSES,6.72,94
PROGRESSIVE CARRIES,8.03,96
DRIBBLES_COMPLETED,0.72,45
TOUCHES_IN_AREA,1.08,50
PROGRESSIVE_PASSES_RECIEVED,0.96,17
PRESSURES,18.65,52
TACKLES,2.76,78
INTERCEPTIONS,1.86,73
BLOCKS,1.50,47
CLEARANCES,2.28,88
AERIAL_DUELS_WON,2.04,83
