Foden,Phil,Manchester City
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.46,94
NON_PEN_XG,0.41,92
TOTAL_SHOTS,2.77,84
ASSISTS,0.33,88
XA,0.32,92
NON_PEN_XG+XA,0.72,96
SHOT_CREATIONS,3.71,69
PASSES_ATTEMPTED,49.13,84
PASS_COMPLETION_PERCENTAGE,81.7,86
PROGRESSIVE_PASSES,3.06,40
PROGRESSIVE CARRIES,7.29,76
DRIBBLES_COMPLETED,1.56,48
TOUCHES_IN_AREA,8.00,97
PROGRESSIVE_PASSES_RECIEVED,8.92,92
PRESSURES,17.90,66
TACKLES,1.27,42
INTERCEPTIONS,0.85,46
BLOCKS,1.07,38
CLEARANCES,0.52,50
AERIAL_DUELS_WON,0.59,44
