Mamardashvili,Giorgi,Valencia
,,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.23,10
GOALS_CONCEDED,1.17,70
SAVE_PERCENTAGE,72.0,70
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.22,1
CLEAN_SHEET_PERCENTAGE,33.3,76
TOUCHES,27.50,2
LAUNCH_PERCENTAGE,63.3,94
GOAL_KICKS,7.50,54
AVG_GOAL_KICK_DISTANCE,57.9,88
CROSSES_STOPPED_PERCENTAGE,5.5,17
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.00,1
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,10.3,1
