Luis Gayà,José,Valencia
LB,LM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,81
NON_PEN_XG,0.07,82
TOTAL_SHOTS,0.93,81
ASSISTS,0.24,93
XA,0.14,82
NON_PEN_XG+XA,0.21,84
SHOT_CREATIONS,2.04,71
PASSES_ATTEMPTED,47.52,27
PASS_COMPLETION_PERCENTAGE,77.4,50
PROGRESSIVE_PASSES,2.94,24
PROGRESSIVE CARRIES,4.51,49
DRIBBLES_COMPLETED,0.90,57
TOUCHES_IN_AREA,1.59,62
PROGRESSIVE_PASSES_RECIEVED,3.48,88
PRESSURES,11.96,41
TACKLES,1.95,46
INTERCEPTIONS,1.41,34
BLOCKS,1.35,11
CLEARANCES,2.28,45
AERIAL_DUELS_WON,0.90,32
