Maranhão,,Valencia
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.19,11
NON_PEN_XG,0.38,58
TOTAL_SHOTS,2.76,71
ASSISTS,0.19,75
XA,0.12,53
NON_PEN_XG+XA,0.50,57
SHOT_CREATIONS,2.00,37
PASSES_ATTEMPTED,17.22,12
PASS_COMPLETION_PERCENTAGE,65.7,14
PROGRESSIVE_PASSES,1.33,42
PROGRESSIVE CARRIES,1.81,21
DRIBBLES_COMPLETED,0.95,48
TOUCHES_IN_AREA,4.28,21
PROGRESSIVE_PASSES_RECIEVED,6.47,30
PRESSURES,19.41,87
TACKLES,0.86,67
INTERCEPTIONS,0.57,77
BLOCKS,1.33,94
CLEARANCES,0.48,33
AERIAL_DUELS_WON,3.33,79
