Alderete,Omar,Valencia
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,52
NON_PEN_XG,0.03,27
TOTAL_SHOTS,0.61,71
ASSISTS,0.00,28
XA,0.01,34
NON_PEN_XG+XA,0.04,20
SHOT_CREATIONS,0.48,42
PASSES_ATTEMPTED,44.13,23
PASS_COMPLETION_PERCENTAGE,73.9,2
PROGRESSIVE_PASSES,3.47,77
PROGRESSIVE CARRIES,1.91,33
DRIBBLES_COMPLETED,0.48,87
TOUCHES_IN_AREA,0.87,58
PROGRESSIVE_PASSES_RECIEVED,0.09,27
PRESSURES,8.24,41
TACKLES,1.74,67
INTERCEPTIONS,1.65,45
BLOCKS,1.43,26
CLEARANCES,8.03,99
AERIAL_DUELS_WON,3.38,81
