Correia,Thierry,Valencia
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,55
NON_PEN_XG,0.04,54
TOTAL_SHOTS,0.30,20
ASSISTS,0.04,27
XA,0.07,47
NON_PEN_XG+XA,0.12,50
SHOT_CREATIONS,1.48,41
PASSES_ATTEMPTED,49.33,35
PASS_COMPLETION_PERCENTAGE,77.3,48
PROGRESSIVE_PASSES,3.05,28
PROGRESSIVE CARRIES,3.92,32
DRIBBLES_COMPLETED,0.87,55
TOUCHES_IN_AREA,0.83,22
PROGRESSIVE_PASSES_RECIEVED,2.39,64
PRESSURES,15.11,78
TACKLES,2.22,61
INTERCEPTIONS,1.79,64
BLOCKS,1.70,37
CLEARANCES,3.57,93
AERIAL_DUELS_WON,1.26,56
