Guillamón,Hugo,Valencia
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,47
NON_PEN_XG,0.02,13
TOTAL_SHOTS,0.36,27
ASSISTS,0.00,28
XA,0.01,41
NON_PEN_XG+XA,0.03,10
SHOT_CREATIONS,0.61,60
PASSES_ATTEMPTED,49.47,39
PASS_COMPLETION_PERCENTAGE,86.8,49
PROGRESSIVE_PASSES,3.69,80
PROGRESSIVE CARRIES,3.51,73
DRIBBLES_COMPLETED,0.14,30
TOUCHES_IN_AREA,0.43,12
PROGRESSIVE_PASSES_RECIEVED,0.18,58
PRESSURES,10.81,75
TACKLES,1.48,51
INTERCEPTIONS,1.55,38
BLOCKS,1.45,27
CLEARANCES,4.41,33
AERIAL_DUELS_WON,2.53,49
