Paulista,Gabriel,Valencia
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,93
NON_PEN_XG,0.04,49
TOTAL_SHOTS,0.41,38
ASSISTS,0.03,66
XA,0.01,36
NON_PEN_XG+XA,0.05,38
SHOT_CREATIONS,0.54,51
PASSES_ATTEMPTED,46.99,31
PASS_COMPLETION_PERCENTAGE,87.7,60
PROGRESSIVE_PASSES,3.02,62
PROGRESSIVE CARRIES,2.42,45
DRIBBLES_COMPLETED,0.13,25
TOUCHES_IN_AREA,0.60,27
PROGRESSIVE_PASSES_RECIEVED,0.06,21
PRESSURES,4.71,1
TACKLES,0.83,7
INTERCEPTIONS,2.42,88
BLOCKS,1.30,15
CLEARANCES,5.15,55
AERIAL_DUELS_WON,2.29,39
