"b'Racic, Uros'",Valencia
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,44
NON_PEN_XG,0.06,48
TOTAL_SHOTS,1.37,80
ASSISTS,0.04,37
XA,0.01,5
NON_PEN_XG+XA,0.08,19
SHOT_CREATIONS,1.68,44
PASSES_ATTEMPTED,43.06,28
PASS_COMPLETION_PERCENTAGE,80.5,30
PROGRESSIVE_PASSES,3.36,39
PROGRESSIVE CARRIES,3.27,37
DRIBBLES_COMPLETED,0.80,52
TOUCHES_IN_AREA,1.06,49
PROGRESSIVE_PASSES_RECIEVED,1.02,20
PRESSURES,17.28,40
TACKLES,1.64,18
INTERCEPTIONS,1.11,19
BLOCKS,1.59,55
CLEARANCES,2.30,88
AERIAL_DUELS_WON,2.61,92
