Wass,Daniel,Valencia
AM,CM,RM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,68
NON_PEN_XG,0.10,78
TOTAL_SHOTS,1.24,75
ASSISTS,0.03,23
XA,0.06,42
NON_PEN_XG+XA,0.16,62
SHOT_CREATIONS,1.82,51
PASSES_ATTEMPTED,44.78,32
PASS_COMPLETION_PERCENTAGE,78.6,20
PROGRESSIVE_PASSES,4.03,55
PROGRESSIVE CARRIES,2.93,28
DRIBBLES_COMPLETED,0.36,12
TOUCHES_IN_AREA,1.41,66
PROGRESSIVE_PASSES_RECIEVED,2.29,69
PRESSURES,12.02,3
TACKLES,1.66,19
INTERCEPTIONS,0.86,7
BLOCKS,1.44,41
CLEARANCES,1.46,48
AERIAL_DUELS_WON,1.66,70
