Cillessen,Jasper,Valencia
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.17,92
GOALS_CONCEDED,1.29,57
SAVE_PERCENTAGE,73.3,81
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.30,54
PENALTY_SAVE_PERCENTAGE,25.0,74
CLEAN_SHEET_PERCENTAGE,28.6,61
TOUCHES,32.29,26
LAUNCH_PERCENTAGE,58.4,91
GOAL_KICKS,7.90,67
AVG_GOAL_KICK_DISTANCE,57.2,87
CROSSES_STOPPED_PERCENTAGE,6.3,27
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.57,38
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,14.3,44
