Diakhaby,Mouctar,Valencia
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,53
NON_PEN_XG,0.05,54
TOTAL_SHOTS,0.52,57
ASSISTS,0.04,76
XA,0.00,17
NON_PEN_XG+XA,0.05,36
SHOT_CREATIONS,0.35,20
PASSES_ATTEMPTED,41.64,16
PASS_COMPLETION_PERCENTAGE,83.5,26
PROGRESSIVE_PASSES,2.10,29
PROGRESSIVE CARRIES,1.92,33
DRIBBLES_COMPLETED,0.17,41
TOUCHES_IN_AREA,1.09,79
PROGRESSIVE_PASSES_RECIEVED,0.22,69
PRESSURES,9.69,63
TACKLES,1.66,63
INTERCEPTIONS,1.27,14
BLOCKS,2.27,92
CLEARANCES,5.76,74
AERIAL_DUELS_WON,2.10,30
