Reed,Harrison,Fulham
DM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.02,8
TOTAL_SHOTS,0.55,23
ASSISTS,0.06,44
XA,0.04,29
NON_PEN_XG+XA,0.06,12
SHOT_CREATIONS,1.61,39
PASSES_ATTEMPTED,56.37,65
PASS_COMPLETION_PERCENTAGE,85.3,61
PROGRESSIVE_PASSES,3.94,52
PROGRESSIVE CARRIES,2.44,19
DRIBBLES_COMPLETED,0.72,46
TOUCHES_IN_AREA,0.50,13
PROGRESSIVE_PASSES_RECIEVED,1.11,24
PRESSURES,22.58,86
TACKLES,3.22,90
INTERCEPTIONS,2.22,88
BLOCKS,1.94,80
CLEARANCES,2.77,96
AERIAL_DUELS_WON,1.50,65
