Adarabioyo,Tosin,Fulham
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.03,20
TOTAL_SHOTS,0.55,61
ASSISTS,0.00,28
XA,0.01,50
NON_PEN_XG+XA,0.04,19
SHOT_CREATIONS,0.46,39
PASSES_ATTEMPTED,60.90,72
PASS_COMPLETION_PERCENTAGE,88.1,63
PROGRESSIVE_PASSES,2.39,41
PROGRESSIVE CARRIES,1.81,30
DRIBBLES_COMPLETED,0.29,70
TOUCHES_IN_AREA,1.01,72
PROGRESSIVE_PASSES_RECIEVED,0.17,54
PRESSURES,5.88,10
TACKLES,1.13,21
INTERCEPTIONS,1.93,67
BLOCKS,1.30,14
CLEARANCES,7.73,97
AERIAL_DUELS_WON,3.44,82
