Robinson,Antonee,Fulham
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.03,37
TOTAL_SHOTS,0.64,56
ASSISTS,0.00,8
XA,0.06,30
NON_PEN_XG+XA,0.09,28
SHOT_CREATIONS,1.93,65
PASSES_ATTEMPTED,56.13,64
PASS_COMPLETION_PERCENTAGE,71.4,12
PROGRESSIVE_PASSES,3.78,57
PROGRESSIVE CARRIES,6.70,86
DRIBBLES_COMPLETED,2.35,98
TOUCHES_IN_AREA,1.57,61
PROGRESSIVE_PASSES_RECIEVED,2.50,67
PRESSURES,11.13,26
TACKLES,2.00,47
INTERCEPTIONS,1.71,59
BLOCKS,1.50,20
CLEARANCES,3.14,84
AERIAL_DUELS_WON,1.50,71
