Yarmolenko,Andriy,West Ham
RW,AM,RM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,22
NON_PEN_XG,0.12,14
TOTAL_SHOTS,1.48,20
ASSISTS,0.13,29
XA,0.15,39
NON_PEN_XG+XA,0.28,22
SHOT_CREATIONS,2.28,11
PASSES_ATTEMPTED,37.21,43
PASS_COMPLETION_PERCENTAGE,81.2,83
PROGRESSIVE_PASSES,2.69,30
PROGRESSIVE CARRIES,6.04,51
DRIBBLES_COMPLETED,0.94,16
TOUCHES_IN_AREA,5.64,82
PROGRESSIVE_PASSES_RECIEVED,7.52,75
PRESSURES,12.36,16
TACKLES,1.34,52
INTERCEPTIONS,0.40,4
BLOCKS,0.94,24
CLEARANCES,0.40,33
AERIAL_DUELS_WON,0.94,71
