Cresswell,Aaron,West Ham
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,39
NON_PEN_XG,0.03,41
TOTAL_SHOTS,0.62,54
ASSISTS,0.18,87
XA,0.17,92
NON_PEN_XG+XA,0.20,83
SHOT_CREATIONS,2.59,88
PASSES_ATTEMPTED,64.37,86
PASS_COMPLETION_PERCENTAGE,77.1,47
PROGRESSIVE_PASSES,4.79,83
PROGRESSIVE CARRIES,3.73,30
DRIBBLES_COMPLETED,0.16,1
TOUCHES_IN_AREA,0.80,20
PROGRESSIVE_PASSES_RECIEVED,1.06,12
PRESSURES,6.50,1
TACKLES,0.93,2
INTERCEPTIONS,1.17,17
BLOCKS,1.37,12
CLEARANCES,2.54,58
AERIAL_DUELS_WON,1.11,45
