Rice,Declan,West Ham
DF,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,76
NON_PEN_XG,0.06,47
TOTAL_SHOTS,0.83,41
ASSISTS,0.08,58
XA,0.07,48
NON_PEN_XG+XA,0.13,47
SHOT_CREATIONS,1.62,40
PASSES_ATTEMPTED,52.12,54
PASS_COMPLETION_PERCENTAGE,88.2,83
PROGRESSIVE_PASSES,3.18,32
PROGRESSIVE CARRIES,5.91,86
DRIBBLES_COMPLETED,1.03,70
TOUCHES_IN_AREA,1.44,67
PROGRESSIVE_PASSES_RECIEVED,0.73,12
PRESSURES,14.61,17
TACKLES,2.25,51
INTERCEPTIONS,2.68,96
BLOCKS,1.69,62
CLEARANCES,1.39,44
AERIAL_DUELS_WON,1.54,66
