Areola,Alphonse,West Ham
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.22,95
GOALS_CONCEDED,1.10,78
SAVE_PERCENTAGE,72.2,71
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.32,76
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,34.5,82
TOUCHES,30.83,14
LAUNCH_PERCENTAGE,36.5,32
GOAL_KICKS,7.07,37
AVG_GOAL_KICK_DISTANCE,41.9,35
CROSSES_STOPPED_PERCENTAGE,6.3,27
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.62,49
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,14.7,60
