Fredericks,Ryan,West Ham
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.19,98
NON_PEN_XG,0.10,90
TOTAL_SHOTS,0.76,70
ASSISTS,0.00,8
XA,0.04,15
NON_PEN_XG+XA,0.13,58
SHOT_CREATIONS,1.91,63
PASSES_ATTEMPTED,43.86,13
PASS_COMPLETION_PERCENTAGE,75.2,32
PROGRESSIVE_PASSES,4.00,65
PROGRESSIVE CARRIES,4.19,40
DRIBBLES_COMPLETED,0.19,4
TOUCHES_IN_AREA,2.10,77
PROGRESSIVE_PASSES_RECIEVED,2.48,66
PRESSURES,8.96,8
TACKLES,1.72,30
INTERCEPTIONS,1.72,60
BLOCKS,2.48,89
CLEARANCES,3.62,94
AERIAL_DUELS_WON,1.53,72
