Fornals,Pablo,West Ham
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.21,46
NON_PEN_XG,0.20,47
TOTAL_SHOTS,1.77,36
ASSISTS,0.12,26
XA,0.13,30
NON_PEN_XG+XA,0.33,35
SHOT_CREATIONS,2.94,37
PASSES_ATTEMPTED,42.16,62
PASS_COMPLETION_PERCENTAGE,76.6,52
PROGRESSIVE_PASSES,4.83,84
PROGRESSIVE CARRIES,5.03,28
DRIBBLES_COMPLETED,0.79,9
TOUCHES_IN_AREA,2.80,21
PROGRESSIVE_PASSES_RECIEVED,4.50,16
PRESSURES,20.83,86
TACKLES,1.97,85
INTERCEPTIONS,1.47,91
BLOCKS,1.79,91
CLEARANCES,0.53,53
AERIAL_DUELS_WON,1.06,77
