Benrahma,Saïd,West Ham
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.24,58
NON_PEN_XG,0.18,40
TOTAL_SHOTS,2.52,73
ASSISTS,0.24,70
XA,0.19,62
NON_PEN_XG+XA,0.37,47
SHOT_CREATIONS,3.44,59
PASSES_ATTEMPTED,36.01,38
PASS_COMPLETION_PERCENTAGE,78.1,61
PROGRESSIVE_PASSES,3.20,45
PROGRESSIVE CARRIES,6.85,67
DRIBBLES_COMPLETED,2.25,77
TOUCHES_IN_AREA,4.22,57
PROGRESSIVE_PASSES_RECIEVED,6.78,58
PRESSURES,17.54,64
TACKLES,1.87,80
INTERCEPTIONS,0.51,11
BLOCKS,0.85,16
CLEARANCES,0.51,46
AERIAL_DUELS_WON,0.44,28
