Johnson,Ben,West Ham
FB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.14,91
NON_PEN_XG,0.03,37
TOTAL_SHOTS,0.41,29
ASSISTS,0.00,8
XA,0.03,13
NON_PEN_XG+XA,0.07,17
SHOT_CREATIONS,0.88,6
PASSES_ATTEMPTED,48.60,30
PASS_COMPLETION_PERCENTAGE,70.6,10
PROGRESSIVE_PASSES,3.74,55
PROGRESSIVE CARRIES,3.67,29
DRIBBLES_COMPLETED,0.75,49
TOUCHES_IN_AREA,0.68,15
PROGRESSIVE_PASSES_RECIEVED,1.36,23
PRESSURES,12.24,46
TACKLES,1.97,46
INTERCEPTIONS,1.84,69
BLOCKS,2.58,92
CLEARANCES,2.58,60
AERIAL_DUELS_WON,1.02,39
