Bowen,Jarrod,West Ham
RW,RAM,AM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.23,56
NON_PEN_XG,0.29,82
TOTAL_SHOTS,2.04,54
ASSISTS,0.23,66
XA,0.17,52
NON_PEN_XG+XA,0.47,72
SHOT_CREATIONS,3.05,43
PASSES_ATTEMPTED,26.34,6
PASS_COMPLETION_PERCENTAGE,68.6,17
PROGRESSIVE_PASSES,1.32,1
PROGRESSIVE CARRIES,3.34,4
DRIBBLES_COMPLETED,1.41,39
TOUCHES_IN_AREA,4.51,64
PROGRESSIVE_PASSES_RECIEVED,6.04,45
PRESSURES,16.04,51
TACKLES,1.18,34
INTERCEPTIONS,1.12,73
BLOCKS,1.61,84
CLEARANCES,0.23,14
AERIAL_DUELS_WON,0.98,74
