Wood,Chris,Burnley
FW,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.34,46
NON_PEN_XG,0.35,51
TOTAL_SHOTS,2.22,37
ASSISTS,0.09,34
XA,0.07,16
NON_PEN_XG+XA,0.42,37
SHOT_CREATIONS,1.73,20
PASSES_ATTEMPTED,21.75,40
PASS_COMPLETION_PERCENTAGE,65.2,13
PROGRESSIVE_PASSES,1.33,41
PROGRESSIVE CARRIES,1.20,5
DRIBBLES_COMPLETED,0.49,13
TOUCHES_IN_AREA,4.29,21
PROGRESSIVE_PASSES_RECIEVED,7.62,54
PRESSURES,12.56,33
TACKLES,0.59,41
INTERCEPTIONS,0.25,21
BLOCKS,1.08,80
CLEARANCES,0.68,53
AERIAL_DUELS_WON,6.05,96
