Cornet,Maxwel,Burnley
DF,FW,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.27,99
NON_PEN_XG,0.12,96
TOTAL_SHOTS,1.07,87
ASSISTS,0.13,74
XA,0.07,40
NON_PEN_XG+XA,0.18,80
SHOT_CREATIONS,1.61,48
PASSES_ATTEMPTED,49.90,38
PASS_COMPLETION_PERCENTAGE,79.4,64
PROGRESSIVE_PASSES,3.36,43
PROGRESSIVE CARRIES,4.61,55
DRIBBLES_COMPLETED,0.67,43
TOUCHES_IN_AREA,2.01,76
PROGRESSIVE_PASSES_RECIEVED,4.30,94
PRESSURES,12.53,49
TACKLES,2.37,69
INTERCEPTIONS,1.83,69
BLOCKS,1.34,11
CLEARANCES,2.86,74
AERIAL_DUELS_WON,2.10,90
