Tarkowski,James,Burnley
CB,RCB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,59
NON_PEN_XG,0.08,88
TOTAL_SHOTS,0.65,76
ASSISTS,0.05,80
XA,0.02,67
NON_PEN_XG+XA,0.10,89
SHOT_CREATIONS,0.75,76
PASSES_ATTEMPTED,32.18,3
PASS_COMPLETION_PERCENTAGE,71.9,1
PROGRESSIVE_PASSES,2.43,43
PROGRESSIVE CARRIES,1.13,11
DRIBBLES_COMPLETED,0.33,75
TOUCHES_IN_AREA,1.95,99
PROGRESSIVE_PASSES_RECIEVED,0.33,83
PRESSURES,7.28,28
TACKLES,1.93,75
INTERCEPTIONS,1.95,67
BLOCKS,2.18,89
CLEARANCES,6.00,82
AERIAL_DUELS_WON,4.93,99
