Berg Guðmundsson,Jóhann,Burnley
AM,RM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,12
NON_PEN_XG,0.12,14
TOTAL_SHOTS,1.34,12
ASSISTS,0.04,4
XA,0.03,1
NON_PEN_XG+XA,0.15,1
SHOT_CREATIONS,1.73,3
PASSES_ATTEMPTED,29.48,14
PASS_COMPLETION_PERCENTAGE,70.7,22
PROGRESSIVE_PASSES,1.69,5
PROGRESSIVE CARRIES,4.19,12
DRIBBLES_COMPLETED,0.78,8
TOUCHES_IN_AREA,2.25,9
PROGRESSIVE_PASSES_RECIEVED,4.06,11
PRESSURES,12.80,18
TACKLES,1.51,62
INTERCEPTIONS,1.30,81
BLOCKS,1.43,71
CLEARANCES,1.21,95
AERIAL_DUELS_WON,1.38,85
