Pope,Nick,Burnley
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.06,43
GOALS_CONCEDED,1.25,64
SAVE_PERCENTAGE,72.8,79
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.26,14
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,25.0,49
TOUCHES,32.44,29
LAUNCH_PERCENTAGE,74.5,96
GOAL_KICKS,8.22,78
AVG_GOAL_KICK_DISTANCE,63.2,95
CROSSES_STOPPED_PERCENTAGE,11.6,97
DEFENSIVE_ACTIONS_OUTSIDE_AREA,1.39,96
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,16.9,95
