Brownhill,Josh,Burnley
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.06,47
TOTAL_SHOTS,1.10,66
ASSISTS,0.03,25
XA,0.05,33
NON_PEN_XG+XA,0.11,34
SHOT_CREATIONS,1.61,39
PASSES_ATTEMPTED,35.60,12
PASS_COMPLETION_PERCENTAGE,76.7,12
PROGRESSIVE_PASSES,2.62,14
PROGRESSIVE CARRIES,2.26,15
DRIBBLES_COMPLETED,0.42,15
TOUCHES_IN_AREA,1.99,83
PROGRESSIVE_PASSES_RECIEVED,2.89,80
PRESSURES,15.32,21
TACKLES,1.31,7
INTERCEPTIONS,1.78,66
BLOCKS,1.73,66
CLEARANCES,1.67,61
AERIAL_DUELS_WON,1.61,68
