Lowton,Matthew,Burnley
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,59
NON_PEN_XG,0.03,38
TOTAL_SHOTS,0.69,62
ASSISTS,0.07,50
XA,0.07,46
NON_PEN_XG+XA,0.10,37
SHOT_CREATIONS,1.64,49
PASSES_ATTEMPTED,44.07,14
PASS_COMPLETION_PERCENTAGE,68.2,4
PROGRESSIVE_PASSES,4.16,69
PROGRESSIVE CARRIES,3.21,16
DRIBBLES_COMPLETED,0.61,38
TOUCHES_IN_AREA,0.66,14
PROGRESSIVE_PASSES_RECIEVED,0.96,10
PRESSURES,8.48,5
TACKLES,2.03,51
INTERCEPTIONS,1.67,56
BLOCKS,1.89,52
CLEARANCES,3.43,90
AERIAL_DUELS_WON,1.25,53
