Nikolaou,Dimitris,Spezia
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.00,1
TOTAL_SHOTS,0.13,3
ASSISTS,0.00,28
XA,0.01,27
NON_PEN_XG+XA,0.01,1
SHOT_CREATIONS,0.40,29
PASSES_ATTEMPTED,53.73,51
PASS_COMPLETION_PERCENTAGE,85.6,41
PROGRESSIVE_PASSES,2.33,39
PROGRESSIVE CARRIES,3.73,77
DRIBBLES_COMPLETED,0.40,81
TOUCHES_IN_AREA,0.20,3
PROGRESSIVE_PASSES_RECIEVED,0.13,45
PRESSURES,10.07,67
TACKLES,1.47,49
INTERCEPTIONS,1.73,52
BLOCKS,1.80,64
CLEARANCES,3.87,15
AERIAL_DUELS_WON,1.87,17
