Ferrer,Salvador,Spezia
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.01,12
TOTAL_SHOTS,0.36,23
ASSISTS,0.00,8
XA,0.07,45
NON_PEN_XG+XA,0.08,26
SHOT_CREATIONS,1.79,57
PASSES_ATTEMPTED,57.02,69
PASS_COMPLETION_PERCENTAGE,77.6,51
PROGRESSIVE_PASSES,3.93,63
PROGRESSIVE CARRIES,3.99,35
DRIBBLES_COMPLETED,0.30,8
TOUCHES_IN_AREA,0.48,6
PROGRESSIVE_PASSES_RECIEVED,1.55,30
PRESSURES,11.07,25
TACKLES,1.90,44
INTERCEPTIONS,1.49,40
BLOCKS,1.96,57
CLEARANCES,3.33,88
AERIAL_DUELS_WON,2.14,92
