Erlic,Martin,Spezia
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,92
NON_PEN_XG,0.06,75
TOTAL_SHOTS,0.46,46
ASSISTS,0.04,74
XA,0.03,84
NON_PEN_XG+XA,0.10,85
SHOT_CREATIONS,0.17,2
PASSES_ATTEMPTED,50.34,45
PASS_COMPLETION_PERCENTAGE,86.7,48
PROGRESSIVE_PASSES,1.75,15
PROGRESSIVE CARRIES,1.59,23
DRIBBLES_COMPLETED,0.21,50
TOUCHES_IN_AREA,0.88,59
PROGRESSIVE_PASSES_RECIEVED,0.13,40
PRESSURES,10.44,71
TACKLES,0.96,12
INTERCEPTIONS,1.67,47
BLOCKS,1.84,68
CLEARANCES,5.05,51
AERIAL_DUELS_WON,2.50,48
