Maggiore,Giulio,Spezia
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,72
NON_PEN_XG,0.19,96
TOTAL_SHOTS,1.59,88
ASSISTS,0.09,64
XA,0.08,58
NON_PEN_XG+XA,0.26,89
SHOT_CREATIONS,1.92,56
PASSES_ATTEMPTED,35.24,10
PASS_COMPLETION_PERCENTAGE,72.7,4
PROGRESSIVE_PASSES,3.03,25
PROGRESSIVE CARRIES,4.05,53
DRIBBLES_COMPLETED,0.66,40
TOUCHES_IN_AREA,2.46,88
PROGRESSIVE_PASSES_RECIEVED,3.66,89
PRESSURES,20.41,72
TACKLES,2.58,70
INTERCEPTIONS,1.17,22
BLOCKS,1.47,44
CLEARANCES,1.02,24
AERIAL_DUELS_WON,1.23,53
