Reca,Arkadiusz,Spezia
DF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,61
NON_PEN_XG,0.07,78
TOTAL_SHOTS,1.18,92
ASSISTS,0.15,81
XA,0.15,85
NON_PEN_XG+XA,0.22,86
SHOT_CREATIONS,1.95,68
PASSES_ATTEMPTED,41.30,10
PASS_COMPLETION_PERCENTAGE,72.4,17
PROGRESSIVE_PASSES,3.03,27
PROGRESSIVE CARRIES,6.17,81
DRIBBLES_COMPLETED,1.44,84
TOUCHES_IN_AREA,2.88,91
PROGRESSIVE_PASSES_RECIEVED,3.39,87
PRESSURES,13.53,63
TACKLES,0.98,4
INTERCEPTIONS,1.80,65
BLOCKS,1.59,27
CLEARANCES,3.14,84
AERIAL_DUELS_WON,1.39,63
