Nzola,M'Bala,Spezia
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.18,9
NON_PEN_XG,0.23,16
TOTAL_SHOTS,1.69,9
ASSISTS,0.13,50
XA,0.09,32
NON_PEN_XG+XA,0.32,12
SHOT_CREATIONS,1.86,27
PASSES_ATTEMPTED,21.79,41
PASS_COMPLETION_PERCENTAGE,83.1,96
PROGRESSIVE_PASSES,0.53,2
PROGRESSIVE CARRIES,2.04,30
DRIBBLES_COMPLETED,0.98,51
TOUCHES_IN_AREA,5.15,48
PROGRESSIVE_PASSES_RECIEVED,7.68,54
PRESSURES,15.36,56
TACKLES,0.53,34
INTERCEPTIONS,0.31,34
BLOCKS,0.80,60
CLEARANCES,0.84,71
AERIAL_DUELS_WON,1.69,50
