Provedel,Ivan,Spezia
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.15,24
GOALS_CONCEDED,1.87,8
SAVE_PERCENTAGE,66.4,38
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.31,66
PENALTY_SAVE_PERCENTAGE,10.0,50
CLEAN_SHEET_PERCENTAGE,10.0,5
TOUCHES,48.13,98
LAUNCH_PERCENTAGE,44.3,52
GOAL_KICKS,5.30,7
AVG_GOAL_KICK_DISTANCE,45.8,50
CROSSES_STOPPED_PERCENTAGE,10.2,90
DEFENSIVE_ACTIONS_OUTSIDE_AREA,1.00,87
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,16.7,93
