Zoet,Jeroen,Spezia
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.08,38
GOALS_CONCEDED,2.25,2
SAVE_PERCENTAGE,60.7,5
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.37,96
PENALTY_SAVE_PERCENTAGE,25.0,74
CLEAN_SHEET_PERCENTAGE,0.0,1
TOUCHES,43.25,88
LAUNCH_PERCENTAGE,38.3,37
GOAL_KICKS,6.33,20
AVG_GOAL_KICK_DISTANCE,40.6,31
CROSSES_STOPPED_PERCENTAGE,9.4,82
DEFENSIVE_ACTIONS_OUTSIDE_AREA,1.08,92
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,15.4,80
