Vencedor Paris,Unai,Athletic Club
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.04,30
TOTAL_SHOTS,0.80,39
ASSISTS,0.00,11
XA,0.01,5
NON_PEN_XG+XA,0.05,9
SHOT_CREATIONS,1.35,26
PASSES_ATTEMPTED,50.48,50
PASS_COMPLETION_PERCENTAGE,79.5,24
PROGRESSIVE_PASSES,5.55,84
PROGRESSIVE CARRIES,2.60,21
DRIBBLES_COMPLETED,0.73,46
TOUCHES_IN_AREA,0.90,39
PROGRESSIVE_PASSES_RECIEVED,1.25,33
PRESSURES,17.31,41
TACKLES,1.67,20
INTERCEPTIONS,0.87,8
BLOCKS,1.84,74
CLEARANCES,1.01,24
AERIAL_DUELS_WON,1.08,46
