Villalibre,Asier,Athletic Club
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.14,5
NON_PEN_XG,0.29,29
TOTAL_SHOTS,2.51,54
ASSISTS,0.14,57
XA,0.09,32
NON_PEN_XG+XA,0.39,28
SHOT_CREATIONS,1.93,32
PASSES_ATTEMPTED,17.33,12
PASS_COMPLETION_PERCENTAGE,59.5,3
PROGRESSIVE_PASSES,0.93,14
PROGRESSIVE CARRIES,3.44,64
DRIBBLES_COMPLETED,0.43,8
TOUCHES_IN_AREA,4.58,31
PROGRESSIVE_PASSES_RECIEVED,8.74,76
PRESSURES,15.04,54
TACKLES,0.43,22
INTERCEPTIONS,0.14,4
BLOCKS,0.57,26
CLEARANCES,0.86,74
AERIAL_DUELS_WON,2.29,63
