Balenziaga,Mikel,Athletic Club
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.00,1
TOTAL_SHOTS,0.19,7
ASSISTS,0.04,23
XA,0.03,6
NON_PEN_XG+XA,0.03,3
SHOT_CREATIONS,0.82,5
PASSES_ATTEMPTED,48.71,31
PASS_COMPLETION_PERCENTAGE,77.0,46
PROGRESSIVE_PASSES,3.06,28
PROGRESSIVE CARRIES,3.32,19
DRIBBLES_COMPLETED,0.60,36
TOUCHES_IN_AREA,0.26,3
PROGRESSIVE_PASSES_RECIEVED,1.01,11
PRESSURES,10.96,24
TACKLES,1.86,41
INTERCEPTIONS,1.30,27
BLOCKS,2.05,67
CLEARANCES,3.06,80
AERIAL_DUELS_WON,1.42,66
