Vivian,Daniel,Athletic Club
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.12,90
NON_PEN_XG,0.08,89
TOTAL_SHOTS,0.58,67
ASSISTS,0.00,28
XA,0.00,4
NON_PEN_XG+XA,0.08,75
SHOT_CREATIONS,0.23,5
PASSES_ATTEMPTED,40.31,14
PASS_COMPLETION_PERCENTAGE,88.2,65
PROGRESSIVE_PASSES,1.62,12
PROGRESSIVE CARRIES,2.32,42
DRIBBLES_COMPLETED,0.12,23
TOUCHES_IN_AREA,0.70,36
PROGRESSIVE_PASSES_RECIEVED,0.23,70
PRESSURES,6.14,12
TACKLES,1.16,23
INTERCEPTIONS,0.81,1
BLOCKS,1.39,22
CLEARANCES,5.79,75
AERIAL_DUELS_WON,1.04,2
