Muniain,Iker,Athletic Club
AM,LM,LW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.15,30
NON_PEN_XG,0.18,39
TOTAL_SHOTS,1.22,8
ASSISTS,0.27,78
XA,0.25,82
NON_PEN_XG+XA,0.43,63
SHOT_CREATIONS,4.77,91
PASSES_ATTEMPTED,51.28,88
PASS_COMPLETION_PERCENTAGE,80.0,74
PROGRESSIVE_PASSES,6.64,97
PROGRESSIVE CARRIES,6.68,64
DRIBBLES_COMPLETED,2.41,85
TOUCHES_IN_AREA,2.67,18
PROGRESSIVE_PASSES_RECIEVED,6.53,53
PRESSURES,12.03,14
TACKLES,1.34,50
INTERCEPTIONS,0.80,38
BLOCKS,0.76,11
CLEARANCES,0.11,5
AERIAL_DUELS_WON,0.23,10
