Williams,Iñaki,Athletic Club
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.23,20
NON_PEN_XG,0.32,39
TOTAL_SHOTS,2.38,47
ASSISTS,0.17,66
XA,0.22,90
NON_PEN_XG+XA,0.54,64
SHOT_CREATIONS,2.15,45
PASSES_ATTEMPTED,20.79,30
PASS_COMPLETION_PERCENTAGE,68.3,22
PROGRESSIVE_PASSES,1.32,39
PROGRESSIVE CARRIES,3.30,63
DRIBBLES_COMPLETED,0.96,49
TOUCHES_IN_AREA,6.27,81
PROGRESSIVE_PASSES_RECIEVED,10.63,95
PRESSURES,12.05,26
TACKLES,0.56,37
INTERCEPTIONS,0.13,4
BLOCKS,0.40,7
CLEARANCES,0.59,45
AERIAL_DUELS_WON,1.55,43
