García,Raúl,Athletic Club
AM,DM,FW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.28,30
NON_PEN_XG,0.25,20
TOTAL_SHOTS,2.36,46
ASSISTS,0.05,20
XA,0.14,63
NON_PEN_XG+XA,0.39,29
SHOT_CREATIONS,1.99,36
PASSES_ATTEMPTED,28.89,77
PASS_COMPLETION_PERCENTAGE,64.2,9
PROGRESSIVE_PASSES,2.97,90
PROGRESSIVE CARRIES,1.90,25
DRIBBLES_COMPLETED,0.51,17
TOUCHES_IN_AREA,4.59,32
PROGRESSIVE_PASSES_RECIEVED,6.45,30
PRESSURES,22.12,96
TACKLES,1.48,96
INTERCEPTIONS,0.93,98
BLOCKS,1.85,98
CLEARANCES,0.74,62
AERIAL_DUELS_WON,3.71,83
