Núñez,Unai,Athletic Club
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,54
NON_PEN_XG,0.10,97
TOTAL_SHOTS,0.61,73
ASSISTS,0.04,76
XA,0.03,82
NON_PEN_XG+XA,0.13,96
SHOT_CREATIONS,0.40,27
PASSES_ATTEMPTED,49.99,43
PASS_COMPLETION_PERCENTAGE,85.5,40
PROGRESSIVE_PASSES,2.72,54
PROGRESSIVE CARRIES,3.21,66
DRIBBLES_COMPLETED,0.26,64
TOUCHES_IN_AREA,0.83,55
PROGRESSIVE_PASSES_RECIEVED,0.18,55
PRESSURES,6.98,21
TACKLES,1.23,28
INTERCEPTIONS,1.27,15
BLOCKS,1.71,56
CLEARANCES,6.68,90
AERIAL_DUELS_WON,3.34,79
